japanese,english,tags
手取額,net salary,人事
　　手当,allowance,人事
　通勤手当,commuting allowance,人事
　　　住居手当,housing allowance,人事
　　　扶養手当,dependent allowance,人事
　　　超過勤務手当,overtime allowance,人事
期末手当,end of term bonus,人事
業績手当,accomplishment-based bonus,人事
　　特別昇給,special raise,人事
　　雇用契約,employment contract,人事
　　契約更新,contact renewal,人事
　　招へい状,invitation letter/ letter of invitation,人事
　　履歴書,curriculum vitae (C.V.)/ resume,人事
　　グローバル化推進教授招へいプログラム,International Faculty Member Invitation Program,人事
　　大阪大学総長顕彰,Osaka University Presidential Awards for Outstanding Achievement,人事
　　大阪大学総長奨励賞,Osaka University Presidential Awards for Outstanding Contribution,人事
　　大阪大学総長による表彰,Presidential Awards for Excellence,人事
　　会計年度,fiscal year,経理
　　予算（平成21年度予算）,budget (the budget for the fiscal year 2009-2010),経理
　　国家予算,national budget,経理
　　予算制度,budget system,経理
　　概算要求,budget request,経理
　　　本予算（当初予算）,principal budget (original budget),経理
　　　補正予算,supplementary budget,経理
　　　暫定予算,provisional budget,経理
　　　一般会計予算,general budget/ general account budget,経理
　　　運営費交付金,Management Expenses Grant,経理
総長裁量経費,(President's) Discretionary Fund,経理
予算案,draft budget,経理
　予算編成,budget drafting,経理
　　　予算の査定,budget assessment,経理
　予算の削減,budget reduction,経理
　予算の増加,budget increase,経理
　　決算,closing accounts,経理
　収入,income,経理
　　　支出,outgo,経理
財務諸表,financial statement,経理
　損益計算書,statement of profit and loss,経理
　　　貸借対照表,balance sheet,経理
　契約,contract,経理
旅費,travel expenses,経理
　　　航空賃,airfare,経理
　鉄道賃,train fare,経理
　　　日当・宿泊料,daily allowance (per diem)・hotel charges［expenses］,経理
　招へい（赴任）旅費,travel expenses (moving expenses),経理
　帰国旅費,repatriation expenses,経理
使用料,rental fee,経理
　　請求書,bill/ invoice,経理
　　見積書,estimate,経理
　　納品書,delivery notice,経理
　　明細書,detailed statement,経理
　　領収書,receipt,経理
　　仕様書,specification,経理
　　請求額,amount due,経理
　　領収額,amount received,経理
　　所得税,income tax,経理
　　住民税,resident tax,経理
年金,pension,経理
　　　退職共済年金,Retirement Mutual Aid Pension,経理
　　　老齢基礎年金,Basic Pension for Senior Citizens,経理
　　健康保険,health insurance,経理
　　文部科学省共済組合,"Ministry of Education, Culture, Sports, Science and Technology  Mutual Society of Health Insurance",経理
　　組合員,"member of Ministry of Education, Culture, Sports, Science and Technology Mutual Society of Health  Insurance",経理
　　共済掛け金,insurance premium,経理
　　扶養家族（配偶者）,dependent (spouse),経理
　　未来基金,Osaka University Foundation for the Future,経理
　　教育制度,education system,教務
　　学年,academic year,教務
　  　学科（学部）,Department,教務
　  　講座 (学部),Course,教務
　  　専攻 (大学院),Department/Field of specialization,教務
　  　講座 (大学院),Course,教務
　学科目,Subjects,教務
　部門,Division,教務
　授業科目,subject,教務
　  　必修科目,required subjects,教務
　  　選択科目,elective subjects,教務
　  　共通教育系科目,general education subjects,教務
　  　専門教育系科目,major subjects,教務
　  　教職教育科目,subjects for teaching credential,教務
　  　国際交流科目,international exchange subjects,教務
　学年暦,academic calendar,教務
　　学期,semester,教務
　  　前期,first semester,教務
　  　後期,second semester,教務
　単位,credit,教務
　履修方法,registration procedure,教務
　　授業,class,教務
　講義,lecture,教務
　　　集中講義,intensive course,教務
　  　特別（特殊）講義,special lecture,教務
　  　演習、実験、実習,"（例）seminar, laboratory work, practical training, etc.",教務
　在学年数,years enrolled,教務
　卒業要件,requirements for graduation (of the Undergraduate Course),教務
　　卒業年限,years required for completion of course of study,教務
　修了要件,requirements for completion (of the Graduate Course),教務
　卒業論文,bachelor's thesis,教務
　  修士論文,master's thesis,教務
　  博士論文,doctoral dissertation (thesis),教務
　学士の学位,bachelor's degree,教務
　  修士の学位,master's degree,教務
　  博士の学位,doctor's degree (Ph.D.),教務
　　学位,degree,教務
正規課程,regular (degree) program,教務
学部,undergraduate program,教務
　　　大学院,graduate program,教務
非正規課程,non-degree program,教務
　修士課程／前期課程,master course,教務
　博士課程／後期課程,doctor course,教務
　学部学生,undergraduate student,教務
　大学院学生,graduate student,教務
　正規学生,regular student/ full-time student/ matriculated student,教務
　非正規学生,non-regular student,教務
　　留学生,international student,教務
国費外国人留学生,Japanese Government Scholarship Student,教務
　　外国政府派遣留学生,foreign government-sponsored student,教務
　　私費外国人留学生,unsponsored international students,教務
　中国医学研修生,Chinese Medical Research Fellow,教務
　研究生,research student/ non-degree research student,教務
　聴講生,auditor,教務
　　科目等履修生、選科生,Credited Auditor,教務
　特別聴講学生,special auditor,教務
　特別研究学生,special research student,教務
　　短期留学生,short-term exchange student,教務
　　入学,admission,教務
　　入学資格,qualification for admission,教務
入学試験,entrance examination,教務
　　大学入試センター試験,the first stage entrance examination given by the National Center for University Entrance Examinations,教務
　　個別学力検査等,the second stage entrance examination given by each university,教務
　　外国人特別入試,special entrance examination for non-Japanese applicants,教務
日本留学試験,Examination for Japanese University Admission for International  Students(EJU),教務
　　筆記試験,written examination,教務
口頭試験,oral examination,教務
　 入学検定料,application fee/ entrance examination fee,教務
　入学料,enrollment fee,教務
　授業料,tuition fee,教務
免除,exemption,教務
奨学金,Scholarships and Loans,教務
　博士課程教育リーディングプログラム,Program for Leading Graduate Schools,教務
　　超域イノベーション博士課程プログラム,Cross-Boundary Innovation Program,教務
生体統御ネットワーク医学教育プログラム,Interdisciplinary Program for Biomedical Sciences,教務
　　インタラクティブ物質科学・カデットプログラム,Interactive Materials Science Cadet Program,教務
　　ヒューマンウェアイノベーション博士課程プログラム,Humanware Innovation Program,教務
　　未来共生イノベーター博士課程プログラム,Doctoral Program for Multicultural Innovation,教務
　　創薬基盤科学研究部門,Division of Innovative Research for Drug Development,教務
　　認知脳システム学研究部門,Division of Cognitive Neuroscience Robotics,教務
　　光量子科学研究部門,Division of Photon Science and Technology,教務
　　大阪大学短期留学特別プログラム(OUSSEP),Osaka University Short-term Student Exchange Program,教務
大学院等高度副プログラム,Graduate Program for Advanced Interdisciplinary Studies,教務
大学院科目等履修生高度プログラム,Advanced Programs for Credited Auditors,教務
大学院副専攻プログラム,Graduate Minor Program,教務
知のジムナスティックス(高度教養プログラム),Intellectual gymnastics(Advanced programs in liberal arts and sciences),教務
　　指導教員,supervisor,教務
成績,evaluation grade = grade,教務
　　　優／良／可／不可,excellent / good / fair / fail,教務
　　証明書（学生証）,certificate (student I.D.),教務
（学位の）修了証,Degree Certificate,教務
（一般的な）修了証,Certificate of Completion,教務
　　卒業,graduation,教務
　卒業者,graduate,教務
　　共通教育賞,Osaka University Award for Outstanding Contributions to General Education,教務
退学,withdrawal,教務
　　退学する,withdraw,教務
　　除籍,removal from register,教務
　　除籍する,remove from register,教務
　　放学,expulsion,教務
　　放学する,expel,教務
宿舎,dormitory/hall of residence,教務
　　大阪大学国際交流会館,Osaka University International House,教務
　　大阪大学国際交流会館吹田分館,"Osaka University International House, Suita",教務
　　大阪大学吹田留学生会館,Osaka University Suita International Student Dormitory,教務
大阪大学箕面留学生会館,Osaka University Minoh International Student Dormitory,教務
　　大阪大学新稲国際寮,Osaka University Niina International Dormitory,教務
　　大阪大学春日丘ハウス,Osaka University Kasugaoka House,教務
大阪大学津雲台国際学生宿舎,Osaka University Tsukumodai International Student Dormitory,教務
　文部科学省,"Ministry of Education, Culture, Sports, Science and Technology (MEXT)",参考用語
　　国立大学法人,National University Corporation,参考用語
科学技術・学術審議会,Council for Science and Technology,参考用語
ユネスコバイオテクノロジー国際研修講座,UNESCO Postgraduate Inter-University Course in Biotechnology,参考用語
　在外研究員制度,Program for Overseas Research,参考用語
　国際研究集会派遣制度,Program for International Research Conference,参考用語
　大学間学術交流協定,Inter-University (International) Academic Exchange Agreement,参考用語
　部局間学術交流協定,Inter-Faculty (International) Academic Exchange Agreement,参考用語
　大学間協定,Inter-university Exchange Agreement,参考用語
　部局間協定,Faculty-level Exchange Agreement,参考用語
　　学術行政,academic administration,参考用語
　　学術予算,academic budget,参考用語
　　学術研究,academic research,参考用語
　　研究協力,research cooperation,参考用語
　　研究助成,research aid,参考用語
　受託研究員制度,commissioned researcher system,参考用語
　奨学寄附金,donations for research,参考用語
　受託研究,commissioned research/ contract research,参考用語
企業等との共同研究,joint research with the private sector,参考用語
　共同研究,joint research/ collaborative research,参考用語
産学官連携,university-industry-government collaboration,参考用語
　臨床研究,clinical research,参考用語
　科学研究費補助金,grants-in-aid for scientific research,参考用語
　　　特別推進研究,Specially Promoted Research,参考用語
　　　特定領域研究,Scientific Research in Priority Areas,参考用語
　　　基盤研究,Fundamental Research,参考用語
　　　萌芽的研究,Exploratory Research,参考用語
若手研究,Grant-in-aid for Young Scientists,参考用語
奨励研究,Encouragement of Scientists,参考用語
特別研究促進費,grant-in-aid for special purposes,参考用語
　  研究成果公開発表,publication of research results,参考用語
　　学術定期刊行物,academic periodicals,参考用語
　　学術図書,academic literature,参考用語
　　データベース,databases,参考用語
　　特定奨励費,Specially Designated Research Promotion Fund,参考用語
　　特別研究員奨励費,Grant-in-Aid for JSPS Fellows,参考用語
　　学術創成研究費,Creative Scientific Research  Fund,参考用語
　　学術研究特別支援事業,New Research Initiatives in Humanities and Social Sciences,参考用語
　　未来開拓学術研究推進事業,Research for the Future Program,参考用語
